,0,1,2,3,4,label
0,2.888041e-26,5.172887e-09,2.662648e-12,0.3267859,0.67321414,4.0
1,2.267401e-25,2.6569458e-09,2.3557175e-11,0.24325076,0.7567493,4.0
2,2.3874304e-22,4.0443485e-08,1.0549464e-09,0.02086221,0.9791378,4.0
3,1.9596928e-17,1.1359659e-06,7.2808047e-07,0.00026310183,0.99973506,4.0
4,2.7619482e-12,0.00013823494,0.0010243093,5.1942793e-06,0.9988323,4.0
5,1.9306308e-05,0.08266979,0.8779345,1.4105968e-10,0.03937654,2.0
6,0.8904711,0.07902071,0.030508088,3.155218e-19,1.1984704e-07,0.0
7,0.87879455,0.119854875,0.0013505493,1.533709e-21,1.5819512e-09,0.0
8,0.0015980356,0.9981482,0.0002537575,6.3738166e-18,2.5552122e-08,1.0
9,1.7834922e-09,0.9999323,4.3073123e-05,1.0405415e-10,2.4628704e-05,1.0
10,3.9061405e-14,0.9081953,0.000111835485,0.0011715823,0.0905213,1.0
11,1.7750551e-18,0.008375596,1.1295371e-05,0.66831696,0.3232962,3.0
12,1.0297881e-20,9.8751814e-05,1.773193e-06,0.87364537,0.12625417,3.0
13,7.753173e-21,2.9521176e-05,8.123663e-07,0.6766119,0.32335776,3.0
14,2.8365365e-18,0.00046055342,1.0881262e-06,0.08379796,0.91574043,4.0
15,6.3586267e-18,0.0017924532,7.7363886e-08,0.007926876,0.9902805,4.0
16,5.0395095e-22,7.427067e-05,6.470055e-11,0.014975771,0.98494995,4.0
17,3.5352426e-26,1.2164651e-06,7.887312e-14,0.12609075,0.873908,4.0
18,1.2326883e-27,1.9887148e-07,7.693006e-15,0.17358376,0.8264161,4.0
19,8.020926e-30,1.9291054e-08,5.499252e-16,0.5588772,0.44112277,3.0
20,1.2939697e-30,3.889338e-09,3.5013078e-16,0.8471247,0.15287536,3.0
21,2.266354e-29,1.0174532e-08,1.10691595e-14,0.8535131,0.14648682,3.0
22,7.078251e-27,1.1665003e-07,1.2721869e-12,0.79752946,0.20247042,3.0
23,5.258463e-21,4.826912e-05,1.34689255e-08,0.07409487,0.9258569,4.0
24,7.894766e-12,0.17375447,0.0015762415,3.2314812e-05,0.824637,4.0
25,1.7325269e-07,0.9434138,0.040975265,3.8774672e-09,0.0156108,1.0
26,2.6592705e-05,0.88837934,0.109745145,7.6308425e-11,0.001848982,1.0
27,2.480495e-05,0.77344716,0.21692549,4.2261586e-10,0.009602568,1.0
28,5.665062e-09,0.12368112,0.033576246,1.9038021e-06,0.8427407,4.0
29,8.5562663e-19,3.2565956e-06,6.3158365e-07,0.020834547,0.9791615,4.0
30,1.9114873e-25,4.4853113e-10,1.534108e-10,0.87627953,0.12372044,3.0
31,5.228193e-27,2.5067653e-11,7.59373e-11,0.7581409,0.24185902,3.0
32,7.707362e-30,5.563621e-13,3.3892604e-12,0.8843847,0.115615375,3.0
33,2.1108647e-30,3.3953675e-13,1.6738328e-12,0.9525817,0.047418337,3.0
34,2.6062172e-25,3.184762e-10,4.566054e-09,0.3150871,0.6849129,4.0
35,7.180102e-21,4.660607e-08,1.1698414e-06,0.008205243,0.9917936,4.0
36,1.1285472e-19,2.0846996e-07,7.544877e-06,0.014970197,0.985022,4.0
37,6.8223744e-20,2.8226532e-07,7.827819e-06,0.07523635,0.9247555,4.0
38,1.0323105e-19,4.6201126e-07,3.6891859e-06,0.1074792,0.8925167,4.0
39,2.942354e-18,5.2130204e-06,5.782208e-06,0.021894326,0.97809464,4.0
40,4.1255538e-18,1.6895623e-05,2.5632921e-06,0.0052350857,0.9947455,4.0
41,3.7645587e-19,3.3139917e-05,1.3872717e-07,0.017152697,0.9828141,4.0
42,2.259402e-19,8.816427e-05,2.1078465e-08,0.007424551,0.9924873,4.0
43,1.3569864e-20,6.347619e-05,9.992154e-10,0.004091819,0.99584466,4.0
44,4.547362e-23,9.245045e-06,2.331981e-11,0.005311239,0.9946795,4.0
45,1.2937482e-20,8.8041525e-05,1.1825109e-10,2.1822938e-05,0.9998901,4.0
46,1.5741033e-11,0.14257793,7.1058383e-07,4.6764814e-10,0.8574214,4.0
47,0.007220513,0.9927113,3.9296672e-05,4.0819443e-19,2.8919232e-05,1.0
48,0.99999905,9.07554e-07,6.372181e-10,6.0351464e-35,1.2859941e-16,0.0
49,1.0,2.9714875e-13,1.4339544e-14,0.0,1.1770908e-26,0.0
50,1.0,9.177185e-15,8.26827e-14,0.0,3.843851e-28,0.0
51,1.0,2.0396644e-12,2.2105655e-09,0.0,3.035691e-23,0.0
52,0.9995072,3.2983024e-08,0.00049275905,1.2167255e-28,1.3348124e-15,0.0
53,0.005972492,1.1770666e-05,0.9940157,1.5611335e-18,2.8388287e-09,2.0
54,8.278591e-08,1.8760365e-06,0.999995,1.2367046e-12,2.9680652e-06,2.0
55,1.4748529e-10,8.87655e-07,0.999268,2.8080054e-08,0.0007309995,2.0
56,4.7887383e-13,7.0333215e-07,0.9192273,0.00030953938,0.080462545,2.0
57,1.247606e-18,5.6659566e-09,0.008011435,0.8000499,0.1919386,3.0
58,5.4654405e-30,5.0412072e-15,3.817089e-10,0.99995077,4.9243314e-05,3.0
59,3.789627e-37,6.4683832e-18,7.427062e-15,0.99999964,3.089354e-07,3.0
60,6.6276516e-37,1.76361e-16,9.125829e-15,0.99999964,3.755298e-07,3.0
61,4.1358085e-29,1.402286e-10,1.2519907e-10,0.999833,0.00016703062,3.0
